Timestamp,AHT20_Temp_C,AHT20_Hum_%,DHT11_Temp_C,DHT11_Hum_%
2025-08-28 14:19:38,21.99,62.32,24.30,64.00
2025-08-28 14:20:08,21.99,62.38,24.30,64.00
2025-08-28 14:20:38,21.99,62.34,24.10,64.00
2025-08-28 14:21:08,21.98,62.33,24.10,64.00
2025-08-28 14:21:38,21.98,62.35,24.00,65.00
2025-08-28 14:22:08,21.98,62.33,24.00,65.00
2025-08-28 14:22:38,21.99,62.33,24.50,64.00
2025-08-28 14:23:08,21.95,62.33,24.50,64.00
2025-08-28 14:23:38,21.98,62.32,24.70,64.00
2025-08-28 14:24:08,21.97,62.32,24.70,64.00
2025-08-28 14:24:38,21.98,62.35,24.60,64.00
