Timestamp,AHT20_Temp_C,AHT20_Hum_%,DHT11_Temp_C,DHT11_Hum_%
2025-08-20 16:17:42,21.63,61.93,23.20,65.00
2025-08-20 16:18:12,21.61,61.88,23.20,65.00
2025-08-20 16:18:42,21.61,61.88,23.60,65.00
2025-08-20 16:19:12,21.61,61.89,23.60,65.00
2025-08-20 16:19:42,21.62,61.92,23.00,65.00
2025-08-20 16:20:12,21.62,61.97,23.00,65.00
2025-08-20 16:20:42,21.62,61.94,23.80,65.00
2025-08-20 16:21:12,21.63,61.94,23.80,65.00
2025-08-20 16:21:42,21.63,61.94,23.50,65.00
2025-08-20 16:22:12,21.61,61.97,23.50,65.00
2025-08-20 16:22:42,21.62,61.95,23.60,65.00
